"Site","Plot","Start.Date","End.Date"
"B1","C1",2017-05-06,2017-09-17
"B1","C2",2017-05-06,2017-09-17
"B1","C3",2017-05-06,2017-09-17
"B1","D1",2017-05-06,2017-09-17
"B1","D2",2017-05-06,2017-09-17
"B1","D3",2017-05-06,2017-09-17
"B3","C1",2017-05-07,2017-10-05
"B3","C2",2017-05-07,2017-10-05
"B3","C3",2017-05-07,2017-10-05
"B3","D1",2017-05-07,2017-10-05
"B3","D2",2017-05-07,2017-10-05
"B3","D3",2017-05-07,2017-10-05
"B5","C1",2017-05-07,2017-10-06
"B5","C2",2017-05-07,2017-10-06
"B5","C3",2017-05-07,2017-10-06
"B5","D1",2017-05-07,2017-10-06
"B5","D2",2017-05-07,2017-10-06
"B5","D3",2017-05-07,2017-10-06
"C1","C1",2017-05-12,2017-10-12
"C1","C2",2017-05-12,2017-10-12
"C1","C3",2017-05-12,2017-10-12
"C1","D1",2017-05-12,2017-10-12
"C1","D2",2017-05-12,2017-10-12
"C1","D3",2017-05-12,2017-10-12
"C2","C1",2017-05-12,2017-10-12
"C2","C2",2017-05-12,2017-10-12
"C2","C3",2017-05-12,2017-10-12
"C2","D1",2017-05-12,2017-10-12
"C2","D2",2017-05-12,2017-10-12
"C2","D3",2017-05-12,2017-10-12
"C3","C1",2017-05-13,2017-10-12
"C3","C2",2017-05-13,2017-10-12
"C3","C3",2017-05-13,2017-10-12
"C3","D1",2017-05-13,2017-10-12
"C3","D2",2017-05-13,2017-10-12
"C3","D3",2017-05-13,2017-10-12
"C4","C1",2017-05-13,2017-10-12
"C4","C2",2017-05-13,2017-10-12
"C4","C3",2017-05-13,2017-10-12
"C4","D1",2017-05-13,2017-10-12
"C4","D2",2017-05-13,2017-10-12
"C4","D3",2017-05-13,2017-10-12
"C5","C1",2017-05-13,2017-10-12
"C5","C2",2017-05-13,2017-10-12
"C5","C3",2017-05-13,2017-10-12
"C5","D1",2017-05-13,2017-10-12
"C5","D2",2017-05-13,2017-10-12
"C5","D3",2017-05-13,2017-10-12
"D1","C1",2017-05-09,2017-10-12
"D1","C2",2017-05-09,2017-10-12
"D1","C3",2017-05-09,2017-10-12
"D1","D1",2017-05-09,2017-10-12
"D1","D2",2017-05-09,2017-10-12
"D1","D3",2017-05-09,2017-10-12
"D2","C1",2017-05-09,2017-10-12
"D2","C2",2017-05-09,2017-10-12
"D2","C3",2017-05-09,2017-10-12
"D2","D1",2017-05-09,2017-10-12
"D2","D2",2017-05-09,2017-10-12
"D2","D3",2017-05-09,2017-10-12
"D3","C1",2017-05-09,2017-10-09
"D3","C2",2017-05-09,2017-10-09
"D3","C3",2017-05-09,2017-10-09
"D3","D1",2017-05-09,2017-10-09
"D3","D2",2017-05-09,2017-10-09
"D3","D3",2017-05-09,2017-10-09
"D4","C1",2017-05-09,2017-10-10
"D4","C2",2017-05-09,2017-10-10
"D4","C3",2017-05-09,2017-10-10
"D4","D1",2017-05-09,2017-10-10
"D4","D2",2017-05-09,2017-10-10
"D4","D3",2017-05-09,2017-10-10
"D5","C1",2017-05-09,2017-09-24
"D5","C2",2017-05-09,2017-09-24
"D5","C3",2017-05-09,2017-09-24
"D5","D1",2017-05-09,2017-09-24
"D5","D2",2017-05-09,2017-09-24
"D5","D3",2017-05-09,2017-09-24
"L1","C1",2017-05-09,2017-10-14
"L1","C2",2017-05-09,2017-10-14
"L1","C3",2017-05-09,2017-10-14
"L1","D1",2017-05-09,2017-10-14
"L1","D2",2017-05-09,2017-10-14
"L1","D3",2017-05-09,2017-10-14
"L2","C1",2017-05-10,2017-10-12
"L2","C2",2017-05-10,2017-10-12
"L2","C3",2017-05-10,2017-10-12
"L2","D1",2017-05-10,2017-10-12
"L2","D2",2017-05-10,2017-10-12
"L2","D3",2017-05-10,2017-10-12
"L3","C1",2017-05-10,2017-10-14
"L3","C2",2017-05-10,2017-10-14
"L3","C3",2017-05-10,2017-10-14
"L3","D1",2017-05-10,2017-10-14
"L3","D2",2017-05-10,2017-10-14
"L3","D3",2017-05-10,2017-10-14
"L4","C1",2017-05-11,2017-10-12
"L4","C2",2017-05-11,2017-10-12
"L4","C3",2017-05-11,2017-10-12
"L4","D1",2017-05-11,2017-10-12
"L4","D2",2017-05-11,2017-10-12
"L4","D3",2017-05-11,2017-10-12
"L5","C1",2017-05-11,2017-10-14
"L5","C2",2017-05-11,2017-10-14
"L5","C3",2017-05-11,2017-10-14
"L5","D1",2017-05-11,2017-10-14
"L5","D2",2017-05-11,2017-10-14
"L5","D3",2017-05-11,2017-10-14
